epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,679.416,0.66461,0.74342,0.97603,0.94192,0.92884,0.97624,0.80315,0.67623,0.40814,0.96548,0.000381899,0.000381899,0.000381899
60,690.951,0.65995,0.73836,0.975,0.94008,0.94242,0.97693,0.80874,0.66295,0.39467,0.95568,0.000366899,0.000366899,0.000366899
61,702.352,0.65445,0.72981,0.96937,0.94606,0.93246,0.97722,0.80708,0.66275,0.39263,0.9596,0.000352037,0.000352037,0.000352037
62,713.67,0.65852,0.72738,0.97386,0.94404,0.94351,0.97927,0.81115,0.66053,0.3834,0.95788,0.000337325,0.000337325,0.000337325
63,725.21,0.6491,0.713,0.96939,0.94798,0.94051,0.97882,0.81128,0.65691,0.38003,0.95844,0.000322778,0.000322778,0.000322778
64,736.611,0.64792,0.70018,0.96559,0.94907,0.93811,0.97811,0.81135,0.66563,0.3852,0.96162,0.000308412,0.000308412,0.000308412
65,748.021,0.65362,0.71446,0.96971,0.94509,0.94487,0.97875,0.81437,0.64893,0.37645,0.95539,0.000294239,0.000294239,0.000294239
66,759.471,0.64825,0.70509,0.9677,0.94669,0.94714,0.97955,0.81513,0.64938,0.37136,0.95544,0.000280275,0.000280275,0.000280275
67,770.835,0.64105,0.69395,0.96451,0.93961,0.95217,0.97908,0.81191,0.65134,0.37138,0.95838,0.000266532,0.000266532,0.000266532
68,782.256,0.64079,0.69694,0.96489,0.93249,0.95218,0.97805,0.81523,0.65024,0.37678,0.9569,0.000253024,0.000253024,0.000253024
69,793.611,0.63697,0.68162,0.96294,0.94644,0.94748,0.98045,0.81674,0.64393,0.36435,0.95138,0.000239766,0.000239766,0.000239766
70,804.991,0.63501,0.69041,0.96396,0.94707,0.9398,0.9771,0.81461,0.65221,0.37556,0.95735,0.000226769,0.000226769,0.000226769
71,816.352,0.62902,0.677,0.96162,0.95134,0.94164,0.98054,0.8161,0.64769,0.35989,0.95567,0.000214046,0.000214046,0.000214046
72,827.756,0.6269,0.66837,0.95965,0.95217,0.94442,0.9787,0.81425,0.65143,0.36564,0.95462,0.000201611,0.000201611,0.000201611
73,839.124,0.62941,0.66721,0.96299,0.95026,0.94395,0.97854,0.81346,0.65346,0.36536,0.9558,0.000189475,0.000189475,0.000189475
74,850.505,0.62756,0.66349,0.95909,0.95132,0.94564,0.97964,0.81361,0.65136,0.365,0.95527,0.000177651,0.000177651,0.000177651
75,861.829,0.62546,0.65444,0.96112,0.95553,0.93681,0.97934,0.81648,0.65005,0.36519,0.95487,0.000166149,0.000166149,0.000166149
76,873.193,0.62018,0.64729,0.95861,0.95054,0.93662,0.97734,0.81244,0.65344,0.37043,0.95698,0.000154982,0.000154982,0.000154982
77,884.45,0.61889,0.64133,0.95739,0.9548,0.944,0.98163,0.81673,0.65328,0.3599,0.95572,0.000144161,0.000144161,0.000144161
78,895.772,0.61318,0.64871,0.955,0.95408,0.93762,0.9804,0.81721,0.64869,0.35862,0.95637,0.000133695,0.000133695,0.000133695
79,906.973,0.61782,0.64623,0.95449,0.94826,0.94831,0.98199,0.81763,0.65049,0.35441,0.95608,0.000123596,0.000123596,0.000123596
80,917.961,0.61605,0.63578,0.95657,0.95266,0.94673,0.98136,0.81827,0.64853,0.35303,0.95569,0.000113873,0.000113873,0.000113873
81,928.934,0.61011,0.63539,0.95503,0.94532,0.94817,0.98114,0.81566,0.65351,0.35805,0.95877,0.000104537,0.000104537,0.000104537
82,939.954,0.61253,0.63583,0.95565,0.95268,0.94411,0.98049,0.81782,0.65019,0.35517,0.95365,9.55951e-05,9.55951e-05,9.55951e-05
83,950.969,0.60332,0.62123,0.95046,0.9465,0.94889,0.98023,0.81826,0.64817,0.35739,0.95555,8.70577e-05,8.70577e-05,8.70577e-05
84,962.076,0.60724,0.62743,0.95497,0.95096,0.94078,0.98048,0.81808,0.65059,0.35593,0.95468,7.89327e-05,7.89327e-05,7.89327e-05
85,973.492,0.61169,0.61821,0.95437,0.95556,0.93901,0.98069,0.81817,0.64774,0.35609,0.95455,7.12282e-05,7.12282e-05,7.12282e-05
86,984.931,0.60267,0.62209,0.95245,0.9504,0.94639,0.98118,0.82067,0.64402,0.35026,0.95365,6.39518e-05,6.39518e-05,6.39518e-05
87,996.735,0.60656,0.61646,0.95247,0.95504,0.94419,0.9817,0.8203,0.64545,0.34819,0.95458,5.71106e-05,5.71106e-05,5.71106e-05
88,1008.29,0.59848,0.61808,0.95,0.94762,0.94923,0.98121,0.81938,0.64655,0.34982,0.95578,5.07115e-05,5.07115e-05,5.07115e-05
89,1019.86,0.60288,0.6146,0.9523,0.95069,0.94873,0.98121,0.82036,0.64561,0.34903,0.95507,4.47606e-05,4.47606e-05,4.47606e-05
90,1031.46,0.59943,0.61069,0.95212,0.95867,0.94316,0.98147,0.81969,0.64594,0.34775,0.95507,3.9264e-05,3.9264e-05,3.9264e-05
91,1042.97,0.59352,0.59919,0.94805,0.95874,0.94462,0.98123,0.81903,0.64734,0.34853,0.9559,3.4227e-05,3.4227e-05,3.4227e-05
92,1054.47,0.59808,0.60829,0.95141,0.95661,0.94424,0.98092,0.81911,0.64616,0.34924,0.95645,2.96546e-05,2.96546e-05,2.96546e-05
93,1065.91,0.59887,0.60396,0.94974,0.95419,0.94332,0.98085,0.81923,0.64541,0.34954,0.95547,2.55513e-05,2.55513e-05,2.55513e-05
94,1077.4,0.5975,0.60849,0.94883,0.94817,0.95058,0.98155,0.82085,0.64377,0.3471,0.95426,2.19212e-05,2.19212e-05,2.19212e-05
95,1089.05,0.59293,0.60505,0.9475,0.94429,0.95391,0.98148,0.82007,0.64341,0.34637,0.95417,1.87678e-05,1.87678e-05,1.87678e-05
96,1100.52,0.59308,0.59719,0.94959,0.95036,0.94861,0.98128,0.82,0.64445,0.34623,0.95497,1.60943e-05,1.60943e-05,1.60943e-05
97,1111.73,0.59768,0.60569,0.95129,0.94718,0.95162,0.98106,0.81886,0.64551,0.348,0.95622,1.39032e-05,1.39032e-05,1.39032e-05
98,1122.99,0.59093,0.59794,0.95065,0.94994,0.95089,0.98117,0.81892,0.64485,0.34671,0.95561,1.21968e-05,1.21968e-05,1.21968e-05
99,1134.45,0.59311,0.60482,0.94863,0.94817,0.95061,0.98125,0.81884,0.64515,0.34603,0.95561,1.09768e-05,1.09768e-05,1.09768e-05
100,1145.92,0.58859,0.59568,0.94457,0.94896,0.95108,0.98139,0.81905,0.64417,0.34575,0.95481,1.02443e-05,1.02443e-05,1.02443e-05
