epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.8974,1.1309,3.70151,1.15922,0.03731,0.65903,0.07605,0.05747,0.94822,3.67088,1.03243,0.0674231,0.00032906,0.00032906
2,23.514,1.04839,2.42453,1.11823,0.34464,0.50672,0.40111,0.27949,1.01329,2.09264,1.12919,0.0344229,0.000662231,0.000662231
3,35.0294,0.98925,1.96433,1.10771,0.42796,0.58163,0.48968,0.3735,0.88673,1.882,1.06601,0.0014221,0.000994754,0.000994754
4,46.7253,0.97342,1.75384,1.10585,0.6086,0.64893,0.69196,0.5324,0.82579,1.41049,1.03877,0.000997803,0.000997803,0.000997803
5,58.3697,0.93345,1.58291,1.09183,0.66476,0.74019,0.77986,0.60696,0.81814,1.12502,1.0355,0.000996097,0.000996097,0.000996097
6,69.8057,0.90953,1.47584,1.08057,0.69086,0.70676,0.78261,0.60278,0.82278,1.17392,1.04301,0.000993906,0.000993906,0.000993906
7,81.2195,0.90281,1.40395,1.07517,0.74945,0.77465,0.84371,0.6633,0.79436,0.95801,1.02411,0.000991232,0.000991232,0.000991232
8,92.6595,0.87305,1.33584,1.05983,0.781,0.7557,0.83795,0.64451,0.84363,0.95293,1.04385,0.000988079,0.000988079,0.000988079
9,104.139,0.85861,1.28808,1.05281,0.81397,0.83977,0.89931,0.7167,0.75431,0.78256,1.00156,0.000984449,0.000984449,0.000984449
10,115.607,0.84901,1.26258,1.05293,0.79137,0.79389,0.8674,0.68805,0.76139,0.8485,1.00898,0.000980345,0.000980345,0.000980345
11,127.093,0.83483,1.20054,1.04164,0.81004,0.81353,0.89291,0.70846,0.77035,0.81374,1.00714,0.000975773,0.000975773,0.000975773
12,138.633,0.82247,1.16322,1.03712,0.85283,0.80361,0.89508,0.7121,0.76935,0.79555,1.00668,0.000970736,0.000970736,0.000970736
13,150.258,0.8308,1.15261,1.04153,0.83177,0.80833,0.89416,0.71759,0.73504,0.78248,0.99105,0.000965239,0.000965239,0.000965239
14,161.872,0.81085,1.1253,1.03113,0.8713,0.83387,0.92487,0.73167,0.75818,0.69372,1.00436,0.000959289,0.000959289,0.000959289
15,173.386,0.8149,1.12021,1.0352,0.87998,0.87441,0.94131,0.7519,0.74185,0.64311,0.98922,0.000952889,0.000952889,0.000952889
16,184.462,0.79835,1.08594,1.02836,0.86489,0.86906,0.93456,0.74205,0.75112,0.65732,0.99895,0.000946048,0.000946048,0.000946048
17,195.676,0.78617,1.07226,1.02162,0.88207,0.86359,0.93926,0.75253,0.72734,0.63761,0.99091,0.000938772,0.000938772,0.000938772
18,207.288,0.78854,1.06108,1.02614,0.89033,0.87949,0.94488,0.76083,0.73418,0.61508,0.9811,0.000931067,0.000931067,0.000931067
19,219.092,0.78097,1.03961,1.02015,0.8813,0.86753,0.93671,0.74306,0.76638,0.63688,1.00766,0.000922942,0.000922942,0.000922942
20,230.789,0.77425,1.02904,1.01961,0.87448,0.86009,0.93553,0.75509,0.72747,0.63331,0.9897,0.000914405,0.000914405,0.000914405
21,242.414,0.77189,1.00992,1.01803,0.89538,0.86562,0.94144,0.75386,0.7319,0.6086,0.98735,0.000905463,0.000905463,0.000905463
22,253.956,0.76541,0.99727,1.01237,0.88131,0.87129,0.94085,0.74514,0.77544,0.61023,0.9933,0.000896127,0.000896127,0.000896127
23,265.571,0.75791,0.97877,1.00944,0.90271,0.89498,0.95509,0.76654,0.72882,0.55088,0.98751,0.000886404,0.000886404,0.000886404
24,277.203,0.7636,0.9836,1.01376,0.90529,0.89715,0.95267,0.77443,0.7088,0.54297,0.97813,0.000876305,0.000876305,0.000876305
25,288.828,0.76014,0.97364,1.01406,0.90275,0.8857,0.95356,0.77058,0.71657,0.55223,0.98426,0.000865839,0.000865839,0.000865839
26,300.414,0.75198,0.9512,1.00763,0.89792,0.90404,0.95569,0.76949,0.71224,0.54136,0.9817,0.000855018,0.000855018,0.000855018
27,311.834,0.74543,0.94609,1.00425,0.88295,0.88367,0.94612,0.7615,0.71823,0.56425,0.98592,0.000843851,0.000843851,0.000843851
28,323.42,0.74311,0.94326,1.00779,0.90256,0.88615,0.9506,0.75982,0.73941,0.55693,0.99491,0.000832349,0.000832349,0.000832349
29,334.896,0.74723,0.92856,1.00411,0.90866,0.89089,0.94936,0.76519,0.72974,0.54639,0.98378,0.000820525,0.000820525,0.000820525
30,346.41,0.74367,0.9353,1.00313,0.91444,0.90524,0.96157,0.77928,0.70361,0.51553,0.9764,0.000808389,0.000808389,0.000808389
31,357.977,0.74503,0.91924,1.0042,0.91812,0.89773,0.95551,0.77206,0.72734,0.51856,0.98242,0.000795954,0.000795954,0.000795954
32,369.468,0.73677,0.91302,1.00161,0.92589,0.89696,0.96258,0.78557,0.69921,0.50509,0.97371,0.000783231,0.000783231,0.000783231
33,380.952,0.74007,0.91176,1.00317,0.91842,0.89695,0.963,0.79179,0.68778,0.49941,0.97125,0.000770234,0.000770234,0.000770234
34,392.437,0.73131,0.89897,1.00071,0.92843,0.91012,0.96565,0.78472,0.7003,0.48485,0.97645,0.000756976,0.000756976,0.000756976
35,403.894,0.7251,0.8895,0.99773,0.91059,0.91059,0.95803,0.78212,0.6943,0.4985,0.97213,0.000743468,0.000743468,0.000743468
36,415.46,0.72456,0.87795,0.99635,0.92297,0.91725,0.9655,0.78979,0.6903,0.48027,0.96578,0.000729725,0.000729725,0.000729725
37,426.895,0.7197,0.87251,0.99554,0.92635,0.90398,0.96239,0.77276,0.73172,0.49179,0.98055,0.000715761,0.000715761,0.000715761
38,438.405,0.71652,0.86368,0.9943,0.92881,0.91329,0.96722,0.79252,0.68186,0.4667,0.96839,0.000701588,0.000701588,0.000701588
39,449.855,0.70929,0.86116,0.99414,0.91457,0.92894,0.96865,0.79801,0.67834,0.46032,0.96114,0.000687222,0.000687222,0.000687222
40,461.377,0.72165,0.85731,0.99431,0.91044,0.9092,0.96166,0.7818,0.70229,0.48304,0.97674,0.000672675,0.000672675,0.000672675
41,472.809,0.71466,0.84844,0.99412,0.92174,0.91184,0.96245,0.78451,0.70068,0.47401,0.97201,0.000657963,0.000657963,0.000657963
42,484.313,0.71125,0.83851,0.99065,0.91029,0.91582,0.96493,0.78962,0.68277,0.46267,0.96628,0.000643101,0.000643101,0.000643101
43,495.702,0.70007,0.83692,0.98528,0.92709,0.92036,0.96939,0.79824,0.67477,0.45294,0.96269,0.000628101,0.000628101,0.000628101
44,507.078,0.70416,0.82568,0.98969,0.91847,0.92838,0.97169,0.79065,0.69991,0.44952,0.97614,0.000612981,0.000612981,0.000612981
45,518.571,0.70159,0.81256,0.98741,0.92501,0.91806,0.96725,0.80052,0.66653,0.44535,0.95571,0.000597754,0.000597754,0.000597754
46,530.065,0.6939,0.81785,0.9863,0.93218,0.93227,0.97394,0.80128,0.6728,0.42894,0.96118,0.000582435,0.000582435,0.000582435
47,541.642,0.69687,0.80933,0.9889,0.9423,0.91904,0.97039,0.79852,0.67349,0.43163,0.9625,0.00056704,0.00056704,0.00056704
48,553.054,0.69271,0.80388,0.98429,0.93864,0.93093,0.97512,0.80104,0.67569,0.41408,0.96436,0.000551584,0.000551584,0.000551584
49,564.54,0.68716,0.79739,0.98304,0.93595,0.93236,0.97523,0.80412,0.66867,0.4123,0.9625,0.000536081,0.000536081,0.000536081
50,576.043,0.6903,0.80011,0.98481,0.94435,0.9065,0.97032,0.80288,0.66351,0.42846,0.96022,0.000520548,0.000520548,0.000520548
51,587.516,0.68566,0.78911,0.98278,0.93734,0.9333,0.97476,0.80626,0.6618,0.41458,0.95938,0.000505,0.000505,0.000505
52,599.075,0.6816,0.78715,0.98205,0.94712,0.91639,0.97559,0.81093,0.66375,0.41613,0.95836,0.000489452,0.000489452,0.000489452
53,610.641,0.68372,0.77268,0.98339,0.93536,0.93025,0.97385,0.80345,0.66885,0.41969,0.96424,0.000473919,0.000473919,0.000473919
54,622.026,0.6695,0.75599,0.97439,0.94186,0.9386,0.97754,0.8113,0.65675,0.39909,0.96067,0.000458416,0.000458416,0.000458416
55,633.473,0.67476,0.75774,0.9767,0.94863,0.9413,0.97895,0.80725,0.67315,0.39362,0.964,0.00044296,0.00044296,0.00044296
56,644.923,0.67276,0.75435,0.97516,0.9487,0.93485,0.9772,0.80725,0.66952,0.3982,0.96304,0.000427565,0.000427565,0.000427565
57,656.453,0.67067,0.75359,0.9776,0.94594,0.93388,0.97671,0.80691,0.66692,0.40158,0.96051,0.000412246,0.000412246,0.000412246
58,667.903,0.66964,0.75207,0.97392,0.95304,0.93389,0.97831,0.80998,0.65958,0.39039,0.95746,0.000397019,0.000397019,0.000397019
