epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.9017,1.1309,3.70151,1.15922,0.03731,0.65903,0.07605,0.05747,0.94822,3.67088,1.03243,0.0674231,0.00032906,0.00032906
2,23.5082,1.04859,2.42266,1.11673,0.39602,0.54657,0.44091,0.31436,0.97523,1.86485,1.1085,0.0344226,0.000661944,0.000661944
3,35.0373,0.99109,1.95561,1.10504,0.46775,0.55423,0.513,0.38646,0.91597,1.67597,1.08628,0.00142038,0.000993026,0.000993026
4,46.5555,0.9725,1.76308,1.10272,0.55186,0.6714,0.66805,0.49889,0.89136,1.5675,1.08808,0.000993906,0.000993906,0.000993906
5,58.1105,0.93389,1.58614,1.08902,0.63663,0.69508,0.74882,0.57602,0.84239,1.30249,1.04942,0.000989183,0.000989183,0.000989183
6,69.6787,0.90392,1.47716,1.07831,0.71276,0.70282,0.78376,0.6016,0.83713,1.15182,1.0507,0.000983133,0.000983133,0.000983133
7,81.1582,0.90119,1.3997,1.07392,0.73632,0.76647,0.83143,0.63664,0.87119,1.03715,1.05216,0.000975773,0.000975773,0.000975773
8,92.629,0.86614,1.32283,1.05905,0.80634,0.78572,0.87733,0.69363,0.79335,0.88507,1.0171,0.000967122,0.000967122,0.000967122
9,104.126,0.85314,1.27713,1.05273,0.81436,0.82348,0.8899,0.70918,0.75648,0.81345,1.00187,0.000957205,0.000957205,0.000957205
10,115.59,0.85227,1.26593,1.05512,0.82028,0.79067,0.88344,0.70019,0.7739,0.83543,1.00836,0.000946048,0.000946048,0.000946048
11,126.93,0.83596,1.21446,1.04474,0.84142,0.8301,0.91071,0.7274,0.75836,0.74157,0.99362,0.000933683,0.000933683,0.000933683
12,138.286,0.82371,1.16292,1.03843,0.83798,0.79472,0.88468,0.69552,0.79107,0.82697,1.01419,0.000920142,0.000920142,0.000920142
13,149.533,0.82449,1.14765,1.03904,0.85995,0.83355,0.91759,0.73661,0.74313,0.7074,0.99145,0.000905463,0.000905463,0.000905463
14,160.792,0.80118,1.12226,1.02946,0.84008,0.85152,0.91966,0.7336,0.73739,0.70448,0.99912,0.000889687,0.000889687,0.000889687
15,171.984,0.80829,1.11301,1.03522,0.88211,0.86738,0.93674,0.74417,0.75952,0.64338,1.00591,0.000872857,0.000872857,0.000872857
