epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
16,183.247,0.78616,1.07014,1.02369,0.90176,0.86785,0.94402,0.75994,0.72825,0.60972,0.98478,0.000855018,0.000855018,0.000855018
17,194.451,0.77468,1.05592,1.01829,0.89848,0.89261,0.95276,0.77507,0.69946,0.58595,0.97411,0.00083622,0.00083622,0.00083622
18,205.662,0.77783,1.04454,1.02274,0.89866,0.89167,0.95223,0.77281,0.71051,0.58175,0.97591,0.000816514,0.000816514,0.000816514
19,216.914,0.77166,1.01263,1.01749,0.88521,0.83925,0.92998,0.75328,0.71894,0.65455,0.97964,0.000795954,0.000795954,0.000795954
20,228.204,0.76648,1.0098,1.01823,0.89419,0.8741,0.94674,0.76042,0.73311,0.59412,0.99423,0.000774596,0.000774596,0.000774596
21,239.513,0.75966,0.98901,1.01415,0.88975,0.89432,0.95219,0.76852,0.71302,0.56917,0.98061,0.0007525,0.0007525,0.0007525
22,250.759,0.75249,0.9711,1.00795,0.90173,0.89582,0.95373,0.77479,0.70813,0.55545,0.97736,0.000729725,0.000729725,0.000729725
23,262.065,0.73882,0.95266,1.00401,0.91584,0.89104,0.95526,0.77068,0.7199,0.53919,0.97869,0.000706335,0.000706335,0.000706335
24,273.319,0.74603,0.94764,1.00681,0.91486,0.89431,0.95036,0.7781,0.6928,0.53706,0.96903,0.000682392,0.000682392,0.000682392
25,284.605,0.73839,0.93255,1.00654,0.91273,0.90141,0.95977,0.78169,0.69139,0.52058,0.97403,0.000657963,0.000657963,0.000657963
26,295.878,0.73238,0.92182,1.00019,0.90524,0.90186,0.95924,0.78247,0.7033,0.51737,0.97451,0.000633115,0.000633115,0.000633115
27,307.08,0.7259,0.90323,0.99769,0.91182,0.89545,0.95641,0.77446,0.72163,0.53583,0.97944,0.000607916,0.000607916,0.000607916
28,318.25,0.72264,0.89793,0.9996,0.92649,0.89852,0.9629,0.78851,0.6833,0.50494,0.9657,0.000582435,0.000582435,0.000582435
29,329.456,0.71907,0.87743,0.99387,0.93019,0.90651,0.964,0.79111,0.69291,0.48454,0.96332,0.000556742,0.000556742,0.000556742
30,340.631,0.71852,0.88066,0.99507,0.92782,0.91044,0.96598,0.78992,0.68323,0.47933,0.969,0.000530906,0.000530906,0.000530906
31,351.77,0.71543,0.87021,0.99374,0.92202,0.91729,0.9657,0.79491,0.67576,0.4676,0.9623,0.000505,0.000505,0.000505
32,362.9,0.70325,0.85597,0.98949,0.92832,0.91941,0.97058,0.79943,0.67581,0.45543,0.96396,0.000479094,0.000479094,0.000479094
33,374.075,0.70911,0.84886,0.99321,0.93585,0.9215,0.96861,0.79965,0.67721,0.45483,0.96137,0.000453258,0.000453258,0.000453258
34,385.29,0.69315,0.82891,0.98609,0.94171,0.91582,0.96868,0.79671,0.6772,0.44935,0.96635,0.000427565,0.000427565,0.000427565
35,396.416,0.68829,0.81802,0.98533,0.93222,0.92064,0.96716,0.79584,0.67105,0.4547,0.96464,0.000402084,0.000402084,0.000402084
36,407.632,0.68624,0.80802,0.98157,0.93647,0.92824,0.97193,0.80347,0.66505,0.43175,0.95855,0.000376885,0.000376885,0.000376885
37,418.899,0.67951,0.79972,0.98137,0.94273,0.93193,0.97421,0.81044,0.65788,0.42408,0.95326,0.000352037,0.000352037,0.000352037
38,430.167,0.67415,0.7848,0.9784,0.9411,0.93155,0.9747,0.80566,0.66653,0.42128,0.96109,0.000327608,0.000327608,0.000327608
39,441.428,0.67079,0.78076,0.98037,0.93861,0.93632,0.97672,0.81091,0.66428,0.41408,0.95102,0.000303665,0.000303665,0.000303665
40,452.698,0.67367,0.77051,0.97714,0.94183,0.9364,0.97513,0.80571,0.66662,0.41484,0.95858,0.000280275,0.000280275,0.000280275
41,463.843,0.66714,0.76117,0.97686,0.94375,0.92942,0.97603,0.80511,0.66565,0.41325,0.95973,0.0002575,0.0002575,0.0002575
42,475.057,0.65752,0.74476,0.97165,0.95086,0.92871,0.97425,0.80946,0.65454,0.40736,0.9568,0.000235404,0.000235404,0.000235404
43,486.231,0.65609,0.74535,0.96931,0.93986,0.93942,0.97616,0.81366,0.65055,0.39736,0.9519,0.000214046,0.000214046,0.000214046
44,497.406,0.65262,0.73195,0.97122,0.94342,0.94263,0.97781,0.81326,0.65872,0.39047,0.95488,0.000193486,0.000193486,0.000193486
45,508.581,0.64813,0.7174,0.96894,0.94068,0.93939,0.97647,0.81356,0.65682,0.39523,0.95163,0.00017378,0.00017378,0.00017378
46,519.692,0.64327,0.72479,0.96807,0.94611,0.93809,0.97766,0.81343,0.65477,0.3927,0.95567,0.000154982,0.000154982,0.000154982
47,530.82,0.64549,0.71489,0.96994,0.93317,0.94794,0.97692,0.81348,0.65029,0.38798,0.95341,0.000137143,0.000137143,0.000137143
48,541.95,0.6403,0.70399,0.96621,0.94339,0.93361,0.97747,0.80962,0.65496,0.38948,0.95796,0.000120313,0.000120313,0.000120313
49,553.075,0.63359,0.69506,0.96309,0.94721,0.94412,0.97846,0.8148,0.65281,0.37696,0.95297,0.000104537,0.000104537,0.000104537
50,564.221,0.63425,0.69891,0.96549,0.94619,0.94719,0.97984,0.81702,0.64715,0.37135,0.95157,8.98581e-05,8.98581e-05,8.98581e-05
51,575.384,0.62963,0.69316,0.96316,0.9546,0.93134,0.9792,0.81551,0.64835,0.37434,0.95287,7.63174e-05,7.63174e-05,7.63174e-05
52,586.502,0.6241,0.68671,0.96228,0.95048,0.94309,0.97998,0.8168,0.6494,0.36938,0.95398,6.39518e-05,6.39518e-05,6.39518e-05
53,597.646,0.62736,0.67945,0.9627,0.94812,0.94782,0.98028,0.81844,0.64791,0.36815,0.95171,5.2795e-05,5.2795e-05,5.2795e-05
54,608.806,0.61994,0.66804,0.95731,0.95053,0.9409,0.97997,0.81892,0.64357,0.36834,0.95256,4.28777e-05,4.28777e-05,4.28777e-05
55,619.952,0.62413,0.6705,0.95882,0.94793,0.95168,0.97944,0.81767,0.64496,0.36659,0.95277,3.4227e-05,3.4227e-05,3.4227e-05
56,631.198,0.62001,0.66809,0.95745,0.94958,0.94759,0.97988,0.81837,0.64491,0.36639,0.95235,2.68667e-05,2.68667e-05,2.68667e-05
57,642.462,0.61841,0.67146,0.95998,0.94177,0.95193,0.97988,0.8189,0.644,0.36542,0.95226,2.08169e-05,2.08169e-05,2.08169e-05
58,653.689,0.62188,0.66966,0.95834,0.93764,0.9573,0.98001,0.81926,0.64372,0.36434,0.95114,1.60943e-05,1.60943e-05,1.60943e-05
59,665.017,0.62064,0.66849,0.96032,0.94247,0.95478,0.98022,0.81892,0.64484,0.36429,0.95185,1.27117e-05,1.27117e-05,1.27117e-05
60,676.296,0.61555,0.66219,0.95975,0.95435,0.94376,0.98043,0.81811,0.64654,0.36431,0.9528,1.06784e-05,1.06784e-05,1.06784e-05
